"软件版本","num"
"4.2.3","9087"
"4.11","7637"
"4.23","7047"
"4.2.4","3055"
"5.1.0","2634"
"4.20","2599"
"4.2.1","2160"
"1.5.4","1993"
"5.0.29","1712"
"1.5.1","1033"
"4.22","957"
"4.2.2","724"
"4.24","644"
"4.2.0","560"
"5.2.0","514"
"1.5.0","371"
"1.5.3","321"
"5.3.4","183"
"5.0.18","161"
"5.0.0","157"
"5.0.3","107"
"5.2.2","96"
"5.0.30","78"
"5.2.7","56"
"5.0.26","46"
"5.0.28","36"
"5.3.2","32"
"5.3.0","31"
"5.2.6","27"
"5.3.3","27"
"4.08","23"
"5.0.25","22"
"4.10","20"
"1.2.9","19"
"5.0.27","19"
"5.2.5","16"
"5.3.1","14"
"4.07","12"
"1.2.8","10"
"4.21","9"
"5.0.15","8"
"5.0.1","8"
"4.2.5","7"
"5.0.23","6"
"5.2.4","5"
"5.0.24","4"
"5.0.4","4"
"5.0.2","4"
"4.01","3"
"5.0.13","2"
"5.0.22","2"
"5.2.3","1"
"1.2.6","1"
"4.03","1"
"4.09","1"
"4.06","1"
